time,tx,rx,throughput
2017-05-08T00:00:00Z,5700.8,1943.2,7644
2017-05-08T00:00:10Z,5332.8,1424.8,6757.6
2017-05-08T00:00:20Z,5651.2,1643.2,7294.4
2017-05-08T00:00:30Z,5591.2,1816.8,7408
2017-05-08T00:00:40Z,5366.4,1458.4,6824.8
2017-05-08T00:00:50Z,7744.8,3180,10924.8
2017-05-08T00:01:00Z,5734.4,1976.8,7711.2
2017-05-08T00:01:10Z,5332.8,1424.8,6757.6
2017-05-08T00:01:20Z,5651.2,1643.2,7294.4
2017-05-08T00:01:30Z,5591.2,1816.8,7408
2017-05-08T00:01:40Z,5366.4,1458.4,6824.8
2017-05-08T00:01:50Z,5684.8,1676.8,7361.6
2017-05-08T00:02:00Z,5806.4,1952.8,7759.2
2017-05-08T00:02:10Z,5884,2577.6,8461.6
2017-05-08T00:02:20Z,5803.2,1739.2,7542.4
2017-05-08T00:02:30Z,5590.4,1817.6,7408
2017-05-08T00:02:40Z,5400,1492,6892
2017-05-08T00:02:50Z,5651.2,1643.2,7294.4
2017-05-08T00:03:00Z,5667.2,1909.6,7576.8
2017-05-08T00:03:10Z,5332.8,1424.8,6757.6
2017-05-08T00:03:20Z,5651.2,1643.2,7294.4
2017-05-08T00:03:30Z,5624,1850.4,7474.4
2017-05-08T00:03:40Z,5366.4,1458.4,6824.8
2017-05-08T00:03:50Z,5651.2,1643.2,7294.4
2017-05-08T00:04:00Z,5667.2,1909.6,7576.8
2017-05-08T00:04:10Z,5366.4,1458.4,6824.8
2017-05-08T00:04:20Z,5651.2,1643.2,7294.4
2017-05-08T00:04:30Z,5432.8,1838.4,7271.2
2017-05-08T00:04:40Z,5366.4,1458.4,6824.8
2017-05-08T00:04:50Z,5651.2,1643.2,7294.4
2017-05-08T00:05:00Z,5884,2029.6,7913.6
2017-05-08T00:05:10Z,5896.8,2432,8328.8
2017-05-08T00:05:20Z,5790.4,1729.6,7520
2017-05-08T00:05:30Z,5670.4,1851.2,7521.6
2017-05-08T00:05:40Z,5438.4,1530.4,6968.8
2017-05-08T00:05:50Z,5651.2,1643.2,7294.4
2017-05-08T00:06:00Z,5739.2,1981.6,7720.8
2017-05-08T00:06:10Z,5400,1724,7124
2017-05-08T00:06:20Z,5651.2,1643.2,7294.4
2017-05-08T00:06:30Z,5624,1850.4,7474.4
2017-05-08T00:06:40Z,5366.4,1458.4,6824.8
2017-05-08T00:06:50Z,5651.2,1643.2,7294.4
2017-05-08T00:07:00Z,5667.2,1909.6,7576.8
2017-05-08T00:07:10Z,5332.8,1424.8,6757.6
2017-05-08T00:07:20Z,5723.2,1715.2,7438.4
2017-05-08T00:07:30Z,5657.6,1884,7541.6
2017-05-08T00:07:40Z,5366.4,1533.6,6900
2017-05-08T00:07:50Z,5651.2,1643.2,7294.4
2017-05-08T00:08:00Z,5668,1965.6,7633.6
